Symbol,SMA 200,SMA 50,Decision,EMA,Decision,Latest Price
03/18/2024
RSLS,0.3024867647058823,0.19353529411764706,Dont Buy,0.16410855093721427,Dont Buy,0.1638
ISRL,10.650601470588235,10.726176470588234,Buy,10.779967781981995,Dont Buy,10.74
HHRSW,3.247,3.247,Dont Buy,3.1215577157566727,Buy,3.2
RTL,7.294285714285714,7.294285714285714,Dont Buy,7.592717291857274,Buy,7.6
LANDP,18.75570220588235,19.568935294117647,Buy,19.84756010802217,Buy,19.89
AVHI,10.924579259259264,11.259219607843141,Buy,11.44,Dont Buy,11.1
SAMA,10.606164285714286,10.606164285714286,Dont Buy,10.586171039893397,Buy,10.63
BEAT,1.7272426470588236,1.8164705882352938,Buy,2.337889767211067,Buy,2.36
TBCPU,10.314491428571426,10.312949019607844,Dont Buy,10.249133331635953,Buy,10.26
ACACU,11.133164444444445,11.258960784313725,Buy,11.1,Dont Buy,10.98
RDUS,25.82110294117647,23.96254901960784,Dont Buy,18.316558948045284,Dont Buy,17.82
CZR,44.94845588235294,43.31411764705882,Dont Buy,39.76433529987883,Buy,39.81
INAQU,10.840814814814816,10.66549019607843,Dont Buy,10.166666654277027,Dont Buy,10.15
ARRY,16.923676470588234,13.664019607843139,Dont Buy,11.897307593470535,Buy,11.94
ASPI,1.9452632352941175,2.920392156862745,Buy,4.43656285310472,Buy,4.66
BIOS,10.80768,10.80768,Dont Buy,10.796759217408432,Dont Buy,10.79
RILYZ,15.298577205882353,13.269049019607845,Dont Buy,12.56603960657165,Dont Buy,11.73
MCACR,0.14824814814814818,0.1479137254901961,Dont Buy,0.15001317694820882,Buy,0.1539
ESGL,0.5975573529411764,0.49425294117647056,Dont Buy,0.4375484290835631,Buy,0.4592
HIVE,3.4628676470588236,3.599803921568627,Buy,2.9971536484080548,Dont Buy,2.95
LFACU,10.862857142857141,10.862857142857141,Dont Buy,10.909999795570952,Dont Buy,10.86
SLGCW,0.16376122988505742,0.14197307843137258,Dont Buy,0.09983757574221681,Buy,0.17
STI,7.910854411764707,3.439041176470589,Dont Buy,2.3448298742529046,Buy,2.67
NEWTI,24.869376470588236,25.069982352941174,Buy,25.06784328679165,Buy,25.11
ONFO,0.6394240588235295,0.5218735098039216,Dont Buy,0.44348264866173315,Dont Buy,0.44
GLACU,10.28328,10.325686274509803,Buy,10.408831989522081,Buy,10.5
DERM,4.192714705882353,4.433921568627451,Buy,3.6327727125318723,Buy,3.77
PRME,8.256213235294117,7.625980392156863,Dont Buy,7.073548164412991,Dont Buy,7.01
MCACU,10.825380740740739,10.88,Buy,10.88,Buy,10.88
BHAC,10.435327941176471,10.444213725490199,Buy,10.470034439097798,Dont Buy,10.47
FSBC,22.587242647058822,23.994999999999997,Buy,22.81367423580705,Buy,23.05
GAINL,25.374895588235294,25.49438823529412,Buy,26.02792601726682,Dont Buy,26.02
INFR,23.416003676470588,23.730315686274512,Buy,23.46976259579359,Buy,23.93
TBIO,0.6236459485294119,0.41167156862745086,Dont Buy,0.5334990465568572,Dont Buy,0.4947
AMID,28.71252794117647,31.437801960784316,Buy,32.950591766555036,Buy,33.22
IAC,50.334889705882354,52.66470588235294,Buy,51.51497599352517,Buy,51.6
RILYG,17.566473529411763,15.736050980392154,Dont Buy,15.397824698374231,Dont Buy,15.11
AZPN,194.78544117647058,195.57803921568626,Buy,196.69059581310722,Dont Buy,196.575
GV,0.17531466911764707,0.18644505882352938,Buy,0.16978945294786688,Dont Buy,0.165
OXLCO,21.84129338235294,22.21330588235294,Buy,22.085697954171657,Dont Buy,22.01
SAMAU,10.690357142857142,10.690357142857142,Dont Buy,10.689945436493185,Buy,11.1
NTRP,3.1732500661764704,3.487837254901961,Buy,4.725293453382743,Dont Buy,4.62
BKCH,34.10507352941176,41.88235294117647,Buy,44.44714699006103,Buy,44.45
BHACU,10.554148148148148,10.27235294117647,Dont Buy,10.46222222691996,Buy,10.47
LCAHU,10.42639344262295,10.459411764705884,Buy,10.666666670538428,Dont Buy,10.42
SLGCW,0.16376122988505742,0.14197307843137258,Dont Buy,0.09983757574221681,Buy,0.17
GSD,11.157841836734693,11.096850980392158,Dont Buy,11.282948222284995,Buy,11.34
DCOM,21.251397058823528,21.214705882352945,Dont Buy,18.14031989289776,Buy,18.15
EVLV,4.546580882352941,4.411862745098039,Dont Buy,3.4902732528750158,Dont Buy,3.45
CART,25.632904411764706,28.1978431372549,Buy,36.74306618715665,Buy,37.24
ARVR,32.59744117647059,34.98022156862745,Buy,35.50879048140253,Dont Buy,28.83
VIA,9.07743455882353,10.752764705882353,Buy,10.91462416137629,Buy,10.94
EMCG,10.927164705882353,11.046960784313724,Buy,11.151791498632184,Dont Buy,11.14
CECO,18.59485294117647,20.307254901960782,Buy,21.47711337031021,Buy,21.49
TDI,27.315770149253733,27.625870588235298,Buy,28.872272325519805,Dont Buy,28.87
EVO,9.262866911764705,7.805490196078431,Dont Buy,7.072299954560997,Buy,7.12
SWIN,5.766197058823529,9.148180392156863,Buy,9.208111603392778,Dont Buy,7.62
HAO,7.113838888888888,7.113838888888888,Dont Buy,6.941528176362798,Buy,6.98
